Id,AUG,constant,val/tre (last),val/ssim (last),epochs,Time,test/epochs/tre (last),parameters/sigma1,parameters/sigma2,Creation Time,parameters/constant_data
VIT-144,SMOD,no,2.6448721557545674,0.9038480520248413,50,15223,5.2638259189263215,10000,1000,2023-06-16 23:45:27,
VIT-145,SMOD,no,2.6170779433766604,0.9098560810089111,50,13590,5.062899927180967,10000,1500,2023-06-17 03:55:13,
VIT-146,SMOD,no,2.615814409220582,0.9091422855854034,50,12304,5.315724907479956,15000,1500,2023-06-17 07:41:06,
VIT-147,SMOD,no,2.7941674037595257,0.8981023728847504,50,18913,5.501558739450005,5000,500,2023-06-17 09:58:59,
VIT-148,SMOD,no,2.794066973762215,0.902129590511322,50,12764,5.279791296558051,5000,1000,2023-06-17 15:13:52,
VIT-149,SMOD,no,2.4860634097822527,0.9079650640487671,50,12150,5.125067695796719,5000,1500,2023-06-17 18:45:58,
VIT-170,SMOD,no,2.701073022622011,0.9058625996112823,100,38904,5.047445139401476,10000,500,2023-06-18 09:31:53,
VIT-249,SMOD,no,2.367990303983844,0.9129275977611542,50,19368,4.951539361503387,5000,2000,2023-06-18 21:44:42,
VIT-252,SMOD,no,2.3263936820235123,0.9114732444286346,50,19723,4.753810384634183,10000,2000,2023-06-19 03:06:55,
VIT-255,SMOD,no,2.8126545878865183,0.8923262059688568,50,13894,5.78232940559471,15000,500,2023-06-19 08:35:00,
VIT-257,SMOD,no,2.744400759382377,0.9029048383235931,50,14272,5.108611591374484,15000,1000,2023-06-19 13:06:58,
VIT-260,SMOD,no,2.4105451673914096,0.9141491949558258,50,14470,4.924085932341877,15000,2000,2023-06-19 17:04:29,
VIT-250,SMOD_breath,no,2.5838855215175243,0.8950297236442566,50,11169,4.972521465772737,0,500,2023-06-18 22:13:27,
VIT-251,SMOD_breath,no,2.423231955002744,0.8981254398822784,50,10838,5.188767368716603,0,1000,2023-06-19 01:19:18,
VIT-253,SMOD_breath,no,2.297178887587384,0.9053122997283936,50,10596,4.793824176504516,0,1500,2023-06-19 04:19:20,
VIT-254,SMOD_breath,no,2.1839430896750773,0.908473014831543,50,10815,4.767647946511769,0,2000,2023-06-19 07:15:12,
VIT-263,SMOD_breath,no,2.131946427803539,0.9164036810398102,150,10319,,0,2500,2023-06-19 21:45:29,
VIT-167,gryds,no,1.8933905286999555,0.8984871506690979,150,115356,3.3254610780671476,0,0,2023-06-18 00:50:15,
VIT-259,gryds,yes,5.493260834249751,0.8464229702949524,150,5945,9.351839086351879,0,0,2023-06-19 16:35:57,
VIT-247,gryds+real,no,1.688675869543634,0.9226446449756622,150,53962,3.6006185150768544,0,0,2023-06-18 21:27:10,
VIT-258,gryds+real,yes,6.214898039076305,0.8786943852901459,150,10012,9.615242826050013,0,0,2023-06-19 13:49:41,
VIT-165,none,yes,1.7959023080943757,0.9262485802173615,150,7053,3.4546201312900435,0,0,2023-06-17 22:53:31,
